               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046259,            0.019883,            0.018632,             0.89687,             0.87497,             0.93522,             0.62668,            0.026261,           0.0052916,           0.0022539,            0.070009,           0.0033323,           0.0033323
                   1,            0.035502,            0.016411,           0.0069619,             0.92402,             0.89001,             0.94841,             0.68356,            0.022725,           0.0051177,           0.0016192,            0.039943,           0.0065997,           0.0065997
                   2,            0.036153,            0.017505,            0.008501,             0.89641,             0.88215,             0.93256,             0.65511,            0.023834,           0.0054797,           0.0016463,           0.0098112,            0.009801,            0.009801
                   3,            0.035302,            0.017461,           0.0080667,             0.94216,             0.91715,              0.9619,             0.71792,            0.021374,           0.0049279,          0.00075556,            0.009703,            0.009703,            0.009703
                   4,            0.032994,            0.016605,           0.0069029,             0.94726,             0.92661,             0.96347,             0.74182,            0.020417,           0.0047254,          0.00064942,            0.009703,            0.009703,            0.009703
                   5,            0.031359,            0.015948,           0.0055729,             0.95112,             0.94442,             0.97185,             0.76122,            0.019049,           0.0045258,          0.00042289,            0.009604,            0.009604,            0.009604
                   6,            0.030755,            0.015568,           0.0052095,             0.95825,             0.94776,             0.97509,              0.7731,            0.018512,            0.004407,          0.00042785,            0.009505,            0.009505,            0.009505
                   7,            0.030048,            0.015369,           0.0051064,             0.95663,             0.95028,             0.97548,             0.78016,            0.018113,           0.0043485,          0.00034013,            0.009406,            0.009406,            0.009406
                   8,            0.029908,            0.015213,           0.0048826,             0.96074,             0.95076,             0.97687,             0.78335,             0.01787,           0.0043023,          0.00030766,            0.009307,            0.009307,            0.009307
                   9,            0.029331,            0.015012,           0.0045223,             0.96436,             0.94993,             0.97718,              0.7851,            0.017717,           0.0042717,          0.00030427,            0.009208,            0.009208,            0.009208
                  10,            0.029221,            0.014949,           0.0046491,             0.96388,             0.94944,             0.97782,             0.78814,            0.017581,           0.0042374,          0.00029119,            0.009109,            0.009109,            0.009109
                  11,            0.028961,            0.014807,           0.0045292,             0.96278,             0.95178,             0.97861,             0.79191,            0.017453,           0.0042128,          0.00027731,             0.00901,             0.00901,             0.00901
                  12,            0.028741,            0.014752,           0.0045302,              0.9674,             0.94928,             0.97893,             0.79352,            0.017339,           0.0041922,          0.00026823,            0.008911,            0.008911,            0.008911
                  13,            0.028723,            0.014669,           0.0045075,             0.96603,             0.95172,             0.97939,             0.79534,             0.01724,           0.0041716,          0.00026566,            0.008812,            0.008812,            0.008812
                  14,            0.028458,            0.014592,           0.0042646,             0.96564,             0.95499,             0.98006,             0.79759,            0.017141,            0.004152,          0.00025962,            0.008713,            0.008713,            0.008713
                  15,             0.02828,            0.014445,           0.0039974,             0.96574,             0.95687,             0.98027,             0.80009,            0.017033,           0.0041286,          0.00024807,            0.008614,            0.008614,            0.008614
                  16,            0.028001,            0.014418,           0.0041582,             0.96531,              0.9581,             0.98087,             0.80155,            0.016929,           0.0041047,          0.00023999,            0.008515,            0.008515,            0.008515
                  17,            0.027907,            0.014319,           0.0041948,             0.96604,             0.95853,             0.98132,             0.80282,            0.016826,           0.0040843,          0.00023444,            0.008416,            0.008416,            0.008416
                  18,            0.027758,            0.014245,           0.0039026,             0.96798,             0.95869,             0.98176,             0.80567,             0.01672,           0.0040601,          0.00022972,            0.008317,            0.008317,            0.008317
                  19,             0.02771,            0.014264,             0.00393,             0.96997,             0.95708,             0.98219,             0.80829,            0.016601,           0.0040374,          0.00022868,            0.008218,            0.008218,            0.008218
                  20,            0.027619,             0.01419,           0.0038822,             0.97046,             0.95936,              0.9828,             0.80984,            0.016519,            0.004017,          0.00021763,            0.008119,            0.008119,            0.008119
                  21,            0.027349,            0.014118,           0.0036945,             0.97164,              0.9584,             0.98327,              0.8112,            0.016413,            0.003998,          0.00020929,             0.00802,             0.00802,             0.00802
                  22,            0.027259,            0.014043,           0.0037356,             0.97362,             0.95768,             0.98352,              0.8137,            0.016319,           0.0039789,           0.0002036,            0.007921,            0.007921,            0.007921
                  23,            0.027099,            0.013974,           0.0035901,             0.97315,             0.95865,             0.98362,             0.81488,            0.016222,            0.003963,          0.00020015,            0.007822,            0.007822,            0.007822
                  24,            0.026947,            0.013982,           0.0036376,             0.97036,             0.96076,             0.98344,             0.81615,            0.016151,           0.0039496,          0.00019485,            0.007723,            0.007723,            0.007723
                  25,              0.0269,            0.013914,           0.0036458,             0.97424,             0.95863,             0.98404,             0.81713,            0.016052,           0.0039441,          0.00018854,            0.007624,            0.007624,            0.007624
                  26,             0.02671,            0.013858,           0.0035416,             0.97724,             0.95777,             0.98405,             0.81908,            0.015983,            0.003931,          0.00018469,            0.007525,            0.007525,            0.007525
                  27,            0.026824,            0.013818,           0.0037293,             0.97447,             0.96069,             0.98427,             0.82013,            0.015925,           0.0039194,          0.00018132,            0.007426,            0.007426,            0.007426
                  28,            0.026639,             0.01374,           0.0035244,             0.97512,             0.96077,             0.98449,             0.82117,            0.015839,           0.0039052,          0.00017462,            0.007327,            0.007327,            0.007327
                  29,             0.02648,            0.013724,           0.0034089,             0.97229,             0.96489,             0.98466,             0.82275,            0.015767,           0.0038924,          0.00017214,            0.007228,            0.007228,            0.007228
                  30,            0.026275,             0.01365,           0.0034228,             0.97461,             0.96414,             0.98507,             0.82425,            0.015657,           0.0038783,            0.000167,            0.007129,            0.007129,            0.007129
                  31,            0.026128,            0.013609,           0.0032938,             0.97563,             0.96517,              0.9853,             0.82552,             0.01559,           0.0038663,          0.00016225,             0.00703,             0.00703,             0.00703
                  32,            0.026396,            0.013697,            0.003415,             0.97654,             0.96585,             0.98594,             0.82748,            0.015516,            0.003856,          0.00015702,            0.006931,            0.006931,            0.006931
                  33,            0.026278,            0.013592,           0.0033678,             0.97608,             0.96695,             0.98596,              0.8289,             0.01543,           0.0038473,          0.00015423,            0.006832,            0.006832,            0.006832
                  34,            0.025965,            0.013513,           0.0031614,             0.97534,             0.96842,             0.98628,             0.83079,            0.015346,            0.003843,          0.00015006,            0.006733,            0.006733,            0.006733
                  35,            0.025986,             0.01338,           0.0032388,             0.97569,             0.97018,             0.98655,              0.8314,             0.01527,           0.0038376,          0.00014452,            0.006634,            0.006634,            0.006634
                  36,            0.025864,            0.013407,           0.0031112,             0.97628,             0.97034,             0.98642,             0.83242,            0.015189,           0.0038301,          0.00014175,            0.006535,            0.006535,            0.006535
