                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5062,                 3.5404,                 3.3589,                0.63888,                 0.4675,                0.56168,                0.30391,                 1.7408,                 2.1801,                 2.4403,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.2749,                 1.6692,                 1.8178,                0.90328,                0.83298,                0.90738,                0.68824,                0.97866,                0.90108,                 1.5231,              0.0065997,              0.0065997,              0.0065997
                      3,                 1.0994,                 1.2864,                 1.5884,                 0.9277,                0.86976,                0.93472,                0.74153,                0.85556,                 0.7256,                 1.3684,               0.009801,               0.009801,               0.009801
                      4,                 1.0051,                 1.0935,                 1.4763,                 0.9551,                0.91037,                0.95915,                0.79965,                0.74769,                0.55866,                  1.236,               0.009703,               0.009703,               0.009703
                      5,                 0.9221,                0.93829,                 1.3989,                0.95973,                 0.9327,                0.96754,                0.82314,                0.69124,                0.48459,                 1.1736,               0.009703,               0.009703,               0.009703
                      6,                0.87101,                0.85305,                 1.3541,                0.96748,                0.93897,                0.97228,                0.84061,                0.65405,                 0.4408,                 1.1366,               0.009604,               0.009604,               0.009604
                      7,                 0.8316,                0.79514,                   1.32,                0.97109,                0.94349,                0.97499,                0.85285,                0.62596,                0.41115,                  1.106,               0.009505,               0.009505,               0.009505
                      8,                0.80985,                0.75794,                 1.2997,                0.97162,                0.94723,                0.97634,                0.86111,                 0.6099,                0.39826,                 1.0901,               0.009406,               0.009406,               0.009406
                      9,                0.78908,                0.72326,                 1.2782,                0.97292,                  0.949,                0.97788,                0.86644,                0.59979,                0.38486,                 1.0778,               0.009307,               0.009307,               0.009307
                     10,                0.77394,                0.69992,                  1.263,                0.97296,                0.95103,                 0.9785,                0.86992,                0.59342,                0.37545,                 1.0706,               0.009208,               0.009208,               0.009208
                     11,                0.76268,                 0.6809,                 1.2522,                0.97316,                0.95312,                0.97943,                0.87364,                0.58642,                0.36886,                 1.0626,               0.009109,               0.009109,               0.009109
                     12,                0.75181,                0.66311,                  1.243,                0.97388,                0.95408,                0.97983,                0.87553,                0.58088,                0.36209,                 1.0568,                0.00901,                0.00901,                0.00901
                     13,                0.74246,                0.65017,                  1.234,                0.97631,                0.95398,                0.98039,                0.87757,                0.57593,                0.35576,                 1.0514,               0.008911,               0.008911,               0.008911
                     14,                0.73393,                0.63907,                 1.2233,                0.97883,                0.95323,                0.98104,                0.87987,                 0.5706,                 0.3507,                 1.0463,               0.008812,               0.008812,               0.008812
                     15,                0.72535,                0.62574,                 1.2168,                0.97825,                0.95653,                0.98178,                0.88219,                0.56556,                0.34589,                  1.041,               0.008713,               0.008713,               0.008713
                     16,                 0.7234,                0.61996,                  1.214,                0.97932,                0.95775,                0.98246,                0.88468,                0.56158,                0.34099,                 1.0366,               0.008614,               0.008614,               0.008614
                     17,                0.71563,                0.61028,                 1.2069,                0.98064,                0.95874,                0.98285,                 0.8859,                0.55813,                0.33753,                 1.0333,               0.008515,               0.008515,               0.008515
                     18,                0.71116,                0.60571,                  1.203,                0.98092,                0.95985,                0.98343,                0.88806,                0.55558,                0.33479,                 1.0303,               0.008416,               0.008416,               0.008416
                     19,                0.70498,                0.59499,                 1.1966,                0.98083,                 0.9617,                0.98367,                0.88964,                0.55205,                0.33268,                 1.0271,               0.008317,               0.008317,               0.008317
                     20,                0.69996,                0.58618,                 1.1904,                0.98105,                 0.9622,                0.98415,                 0.8921,                 0.5482,                0.32937,                 1.0231,               0.008218,               0.008218,               0.008218
                     21,                0.69824,                0.58497,                 1.1908,                0.98143,                0.96286,                 0.9847,                0.89391,                0.54391,                0.32657,                 1.0194,               0.008119,               0.008119,               0.008119
                     22,                0.69257,                0.57591,                 1.1825,                0.98216,                0.96305,                0.98494,                0.89547,                0.54093,                0.32334,                 1.0162,                0.00802,                0.00802,                0.00802
                     23,                0.69158,                0.57216,                 1.1813,                0.98446,                 0.9626,                 0.9853,                0.89739,                0.53641,                   0.32,                 1.0114,               0.007921,               0.007921,               0.007921
                     24,                0.68627,                0.56579,                 1.1785,                0.98575,                0.96247,                0.98569,                0.89922,                 0.5321,                0.31644,                 1.0071,               0.007822,               0.007822,               0.007822
                     25,                0.68098,                0.56641,                 1.1769,                0.98448,                0.96373,                0.98624,                0.90058,                0.52839,                0.31332,                 1.0035,               0.007723,               0.007723,               0.007723
                     26,                0.67937,                0.55741,                 1.1733,                0.98662,                0.96353,                0.98657,                0.90231,                0.52405,                0.31056,                0.99949,               0.007624,               0.007624,               0.007624
                     27,                0.67627,                0.55397,                 1.1697,                0.98659,                0.96472,                0.98707,                 0.9036,                0.52055,                0.30804,                 0.9958,               0.007525,               0.007525,               0.007525
                     28,                0.67183,                0.54684,                 1.1671,                0.98327,                0.96831,                 0.9871,                0.90486,                0.51707,                  0.305,                0.99172,               0.007426,               0.007426,               0.007426
                     29,                 0.6715,                0.54404,                  1.165,                0.98357,                0.96901,                 0.9873,                0.90637,                0.51334,                 0.3025,                0.98761,               0.007327,               0.007327,               0.007327
                     30,                0.66583,                0.54057,                 1.1602,                0.98293,                0.96995,                0.98747,                0.90732,                0.51062,                0.30084,                0.98437,               0.007228,               0.007228,               0.007228
                     31,                0.66679,                0.53625,                 1.1602,                0.98565,                0.96959,                0.98811,                0.90869,                0.50768,                0.29766,                0.98096,               0.007129,               0.007129,               0.007129
                     32,                  0.665,                0.53534,                 1.1577,                0.98563,                0.97086,                0.98816,                0.90975,                0.50431,                0.29458,                0.97726,                0.00703,                0.00703,                0.00703
                     33,                0.66054,                0.53146,                 1.1564,                0.98579,                0.97151,                0.98831,                0.91103,                0.50175,                 0.2922,                0.97436,               0.006931,               0.006931,               0.006931
                     34,                0.65772,                0.52493,                 1.1546,                0.98538,                0.97177,                0.98828,                0.91182,                0.49965,                0.29004,                0.97208,               0.006832,               0.006832,               0.006832
                     35,                0.65571,                0.52211,                 1.1508,                0.98472,                0.97312,                 0.9885,                0.91364,                0.49687,                0.28848,                0.96913,               0.006733,               0.006733,               0.006733
                     36,                0.65182,                0.51896,                 1.1489,                0.98501,                0.97418,                0.98856,                0.91482,                0.49396,                0.28578,                0.96636,               0.006634,               0.006634,               0.006634
                     37,                0.64926,                0.51811,                 1.1492,                 0.9828,                0.97663,                0.98887,                0.91548,                 0.4915,                0.28313,                0.96359,               0.006535,               0.006535,               0.006535
                     38,                0.65007,                0.51493,                 1.1452,                0.98383,                0.97665,                0.98916,                0.91622,                 0.4882,                0.28008,                0.96004,               0.006436,               0.006436,               0.006436
                     39,                0.64462,                0.50932,                 1.1434,                0.98298,                0.97778,                0.98929,                0.91749,                0.48625,                0.27827,                0.95748,               0.006337,               0.006337,               0.006337
                     40,                0.64261,                0.50369,                 1.1416,                0.98358,                0.97724,                0.98943,                0.91861,                0.48393,                0.27617,                0.95513,               0.006238,               0.006238,               0.006238
                     41,                0.63938,                0.50219,                 1.1399,                0.98299,                0.97812,                0.98955,                0.91982,                0.48146,                0.27332,                0.95252,               0.006139,               0.006139,               0.006139
                     42,                0.63882,                 0.5014,                 1.1373,                0.98456,                0.97774,                 0.9897,                0.92115,                0.47925,                 0.2723,                0.95028,                0.00604,                0.00604,                0.00604
                     43,                0.63671,                0.49811,                 1.1358,                0.98623,                0.97601,                0.98975,                0.92198,                0.47752,                0.27118,                0.94849,               0.005941,               0.005941,               0.005941
                     44,                0.63534,                0.49688,                 1.1339,                0.98734,                0.97611,                0.98992,                0.92277,                0.47474,                0.26883,                0.94563,               0.005842,               0.005842,               0.005842
                     45,                0.63048,                0.49166,                 1.1326,                0.98714,                0.97739,                0.98993,                0.92335,                0.47265,                 0.2662,                 0.9434,               0.005743,               0.005743,               0.005743
                     46,                0.62947,                0.48752,                  1.131,                0.98784,                0.97687,                0.99022,                0.92438,                0.47028,                0.26428,                0.94068,               0.005644,               0.005644,               0.005644
                     47,                0.62655,                0.48675,                 1.1311,                0.98818,                0.97627,                0.99016,                0.92468,                0.46778,                0.26257,                0.93859,               0.005545,               0.005545,               0.005545
                     48,                0.62399,                0.48187,                 1.1277,                 0.9889,                0.97684,                0.99017,                0.92527,                 0.4663,                0.26177,                0.93686,               0.005446,               0.005446,               0.005446
                     49,                0.61981,                0.48075,                 1.1275,                0.98875,                0.97739,                 0.9904,                0.92575,                0.46442,                0.25948,                0.93452,               0.005347,               0.005347,               0.005347
                     50,                0.61885,                0.47596,                 1.1222,                0.98853,                0.97807,                0.99055,                0.92692,                0.46287,                0.25682,                0.93254,               0.005248,               0.005248,               0.005248
                     51,                0.61666,                0.47632,                 1.1254,                0.98638,                0.98131,                0.99073,                0.92762,                0.46156,                0.25437,                 0.9307,               0.005149,               0.005149,               0.005149
                     52,                0.61243,                0.46872,                 1.1204,                0.98707,                0.98108,                0.99098,                 0.9282,                0.45996,                0.25238,                0.92873,                0.00505,                0.00505,                0.00505
                     53,                0.60905,                0.46725,                 1.1177,                 0.9879,                0.97982,                0.99098,                0.92924,                0.45836,                 0.2511,                0.92686,               0.004951,               0.004951,               0.004951
                     54,                 0.6086,                0.46563,                 1.1168,                0.98833,                0.97976,                0.99105,                0.92995,                0.45648,                0.24985,                0.92463,               0.004852,               0.004852,               0.004852
                     55,                0.60572,                0.46205,                 1.1161,                0.98902,                0.97942,                0.99108,                0.93023,                0.45458,                0.24939,                0.92273,               0.004753,               0.004753,               0.004753
                     56,                0.60391,                0.45684,                 1.1124,                0.98742,                0.98113,                0.99123,                0.93064,                0.45274,                0.24864,                0.92085,               0.004654,               0.004654,               0.004654
                     57,                0.60224,                0.45798,                 1.1133,                0.98715,                0.98154,                0.99121,                0.93133,                0.45158,                0.24701,                0.91963,               0.004555,               0.004555,               0.004555
                     58,                0.60002,                0.45146,                 1.1117,                0.98783,                0.98159,                0.99126,                0.93169,                0.44999,                0.24504,                0.91808,               0.004456,               0.004456,               0.004456
                     59,                0.59608,                0.44901,                  1.107,                0.98925,                0.98048,                0.99136,                0.93208,                0.44817,                0.24327,                0.91614,               0.004357,               0.004357,               0.004357
                     60,                0.59414,                0.44927,                 1.1091,                0.98898,                0.98068,                0.99146,                0.93308,                0.44638,                0.24153,                0.91427,               0.004258,               0.004258,               0.004258
                     61,                0.59105,                0.44581,                 1.1061,                0.98743,                0.98226,                0.99152,                0.93379,                0.44441,                0.24118,                0.91232,               0.004159,               0.004159,               0.004159
                     62,                0.58944,                0.44237,                 1.1039,                0.98749,                0.98364,                0.99171,                0.93464,                0.44219,                0.24028,                0.91022,                0.00406,                0.00406,                0.00406
