                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89503,                  1.119,                 1.3108,                0.94328,                0.91148,                0.95869,                0.76324,                0.82521,                0.56584,                 1.2647,              0.0033323,              0.0033323,              0.0033323
                      2,                0.81911,                0.72588,                 1.2426,                0.95328,                0.94392,                0.97549,                0.80929,                0.73416,                 0.4744,                 1.1774,              0.0065997,              0.0065997,              0.0065997
                      3,                0.87035,                0.79583,                 1.2747,                 0.9563,                0.92959,                0.97048,                0.80325,                0.73685,                0.49557,                 1.1832,               0.009801,               0.009801,               0.009801
                      4,                0.86357,                0.78276,                 1.2676,                0.96574,                0.95111,                0.97905,                0.83661,                0.67802,                0.41791,                 1.1236,               0.009703,               0.009703,               0.009703
                      5,                 0.7999,                0.68782,                 1.2215,                 0.9758,                0.95981,                0.98356,                0.85821,                0.63173,                0.38358,                 1.0746,               0.009703,               0.009703,               0.009703
                      6,                0.76058,                0.63528,                 1.1939,                0.97642,                0.96568,                 0.9856,                0.87192,                0.59743,                0.35181,                 1.0451,               0.009604,               0.009604,               0.009604
                      7,                0.72988,                0.60119,                 1.1732,                0.97655,                0.97038,                0.98782,                0.88153,                0.57498,                0.33357,                 1.0225,               0.009505,               0.009505,               0.009505
                      8,                0.71621,                0.57789,                  1.163,                0.97921,                0.96998,                0.98833,                0.88669,                0.56221,                 0.3223,                 1.0109,               0.009406,               0.009406,               0.009406
                      9,                0.70152,                0.56012,                  1.153,                0.97939,                0.97215,                  0.989,                0.89146,                0.55231,                0.31385,                 1.0004,               0.009307,               0.009307,               0.009307
                     10,                0.69019,                 0.5476,                 1.1445,                0.97799,                0.97588,                 0.9894,                0.89455,                0.54622,                0.30838,                 0.9941,               0.009208,               0.009208,               0.009208
                     11,                0.68229,                 0.5383,                 1.1398,                0.98012,                0.97509,                0.98976,                0.89641,                0.54105,                0.30399,                0.98955,               0.009109,               0.009109,               0.009109
                     12,                0.67559,                0.52977,                 1.1353,                0.98224,                 0.9755,                0.99009,                0.89862,                0.53601,                0.30016,                0.98437,                0.00901,                0.00901,                0.00901
                     13,                0.66875,                0.52212,                 1.1303,                0.98097,                0.97737,                0.99024,                    0.9,                0.53152,                0.29668,                0.97975,               0.008911,               0.008911,               0.008911
                     14,                0.66307,                0.51644,                  1.125,                0.98053,                0.97741,                0.99044,                0.90191,                0.52713,                0.29457,                0.97546,               0.008812,               0.008812,               0.008812
                     15,                0.65499,                0.50802,                 1.1211,                0.98057,                0.97863,                0.99052,                0.90397,                0.52249,                0.29192,                0.97138,               0.008713,               0.008713,               0.008713
                     16,                0.65462,                0.50679,                 1.1202,                0.98116,                0.97884,                0.99056,                0.90551,                0.51857,                0.28916,                0.96799,               0.008614,               0.008614,               0.008614
                     17,                0.65047,                 0.5009,                 1.1159,                0.98171,                 0.9797,                 0.9907,                0.90665,                0.51424,                0.28657,                0.96404,               0.008515,               0.008515,               0.008515
                     18,                0.64487,                0.49572,                 1.1133,                0.98122,                0.98071,                0.99079,                0.90847,                0.51057,                0.28373,                0.96102,               0.008416,               0.008416,               0.008416
                     19,                0.64171,                0.49132,                 1.1099,                 0.9789,                0.98366,                0.99099,                0.91008,                0.50703,                0.28144,                0.95741,               0.008317,               0.008317,               0.008317
                     20,                0.63832,                0.48811,                 1.1088,                0.97961,                 0.9842,                0.99113,                0.91157,                0.50356,                0.27941,                 0.9542,               0.008218,               0.008218,               0.008218
                     21,                0.63517,                0.48724,                 1.1083,                0.98297,                0.98203,                0.99134,                0.91281,                0.50005,                 0.2775,                0.95088,               0.008119,               0.008119,               0.008119
